Registro;Versão;Data;Hora;Evento;Info;Descrição;
007709;08.08;23/01/25;03:55:14;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007710;08.08;23/01/25;03:55:18;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007711;08.08;23/01/25;03:55:18;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007712;08.08;23/01/25;04:12:41;PWN Internal Log                ;_A0_03_03_03_03;????;
007713;08.08;23/01/25;04:13:04;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007714;08.08;23/01/25;04:13:07;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007715;08.08;23/01/25;04:13:07;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007716;08.08;23/01/25;04:30:30;PWN Internal Log                ;_A0_03_03_03_03;????;
007717;08.08;23/01/25;04:30:53;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007718;08.08;23/01/25;04:30:57;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007719;08.08;23/01/25;04:30:57;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007720;08.08;23/01/25;04:48:20;PWN Internal Log                ;_A0_03_03_03_03;????;
007721;08.08;23/01/25;04:48:43;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007722;08.08;23/01/25;04:48:47;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
007723;08.08;23/01/25;04:48:47;PWN Internal Log                ;_82_00_00_08_03;PWN Iniciou uma nova rede  <<<<<<<<<<<;
007724;08.08;23/01/25;05:06:09;PWN Internal Log                ;_A0_03_03_03_03;????;
007725;08.08;23/01/25;05:06:32;PWN Diconnected                 ;_00_00_00_00_03;Automação perdeu o PWN Servidor <<<<<;
007726;08.08;23/01/25;05:06:36;PWN Internal Log                ;_07_00_00_00_03;Manter Vivo: Tempo esgotado;
